Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
1000	14636	54	-25
1000	14673	37	-17
1000	14697	24	-13
1000	14715	18	-6
1000	14730	15	-3
1000	14741	11	-4
1000	14750	9	-2
1000	14758	8	-1
1000	14764	6	-2
1000	14769	5	-1
1000	14773	4	-1
1000	14775	2	-2
1000	14775	0	-2
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
1000	14775	0	0
-255	14775	0	0
-255	14767	-8	-8
-255	14742	-25	-17
-255	14705	-37	-12
-255	14656	-49	-12
-255	14595	-61	-12
-255	14524	-71	-10
-255	14447	-77	-6
-255	14367	-80	-3
-255	14283	-84	-4
-255	14197	-86	-2
-255	14109	-88	-2
-255	14020	-89	-1
-255	13932	-88	1
-255	13843	-89	-1
-255	13754	-89	0
-255	13664	-90	-1
-255	13574	-90	0
-255	13482	-92	-2
-255	13392	-90	2
-255	13301	-91	-1
-255	13209	-92	-1
-255	13118	-91	1
-255	13026	-92	-1
-255	12933	-93	-1
-255	12841	-92	1
-255	12750	-91	1
-255	12658	-92	-1
-255	12567	-91	1
-255	12474	-93	-2
-255	12382	-92	1
-255	12289	-93	-1
-255	12197	-92	1
-255	12106	-91	1
-255	12013	-93	-2
-255	11921	-92	1
-255	11830	-91	1
-255	11739	-91	0
-255	11647	-92	-1
-255	11556	-91	1
-255	11463	-93	-2
