Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
0	41975	52	0
0	42028	53	1
0	42080	52	-1
0	42131	51	-1
0	42183	52	1
0	42234	51	-1
0	42287	53	2
0	42338	51	-2
0	42389	51	0
0	42440	51	0
0	42491	51	0
0	42542	51	0
0	42592	50	-1
0	42644	52	2
0	42695	51	-1
0	42746	51	0
0	42796	50	-1
0	42846	50	0
0	42896	50	0
0	42946	50	0
0	42995	49	-1
0	43046	51	2
0	43095	49	-2
0	43143	48	-1
0	43193	50	2
0	43243	50	0
0	43292	49	-1
0	43341	49	0
0	43390	49	0
0	43438	48	-1
0	43487	49	1
0	43535	48	-1
0	43583	48	0
0	43631	48	0
0	43679	48	0
0	43727	48	0
0	43775	48	0
0	43823	48	0
0	43871	48	0
0	43920	49	1
0	43968	48	-1
0	44014	46	-2
0	44062	48	2
0	44109	47	-1
0	44157	48	1
0	44204	47	-1
0	44251	47	0
0	44298	47	0
0	44346	48	1
0	44392	46	-2
0	44438	46	0
0	44484	46	0
0	44531	47	1
0	44576	45	-2
0	44621	45	0
0	44668	47	2
0	44715	47	0
0	44762	47	0
0	44807	45	-2
0	44852	45	0
0	44898	46	1
0	44944	46	0
0	44989	45	-1
0	45034	45	0
0	45078	44	-1
0	45123	45	1
0	45167	44	-1
0	45211	44	0
0	45257	46	2
0	45301	44	-2
0	45345	44	0
0	45388	43	-1
0	45432	44	1
0	45476	44	0
0	45519	43	-1
0	45562	43	0
0	45606	44	1
0	45649	43	-1
0	45693	44	1
0	45737	44	0
0	45781	44	0
0	45826	45	1
0	45870	44	-1
0	45912	42	-2
0	45957	45	3
0	46000	43	-2
0	46042	42	-1
0	46085	43	1
0	46128	43	0
0	46170	42	-1
0	46214	44	2
0	46257	43	-1
0	46300	43	0
0	46341	41	-2
0	46382	41	0
0	46423	41	0
0	46464	41	0
0	46507	43	2
0	46549	42	-1
0	46589	40	-2
0	46631	42	2
0	46673	42	0
0	46715	42	0
0	46757	42	0
0	46799	42	0
0	46841	42	0
0	46882	41	-1
0	46924	42	1
0	46963	39	-3
0	47002	39	0
0	47042	40	1
